claim_id,claim_sha256,section,evidence_keys,evidence_ids,status
C001,5c6bb50531e41273d111be885329d752075af6c7b2e6d9d25917c92a71930319,1. Introduction,Ouyang2022;Bai2022;ClaudeCharacter,E001;E002;E041,agent_source_checked_human_review_pending
C002,e6455e501909a707252b84a8ce2f835db4ea250f3ffe1b191530fd123927f6d9,1. Introduction,WangSEP,E029,agent_source_checked_human_review_pending
C003,6a8d952f284bf94c70e7500324414eed3895e6dee89c452e97afa781543a8aa1,2. Conceptual scope,BeliefSEP,E030,agent_source_checked_human_review_pending
C004,e8392f3513867d923f4f3dafc4679855a4b678011669f182ecff3092ebf52bc6,2. Conceptual scope,Butlin2023;Chalmers2023,E008;E009,agent_source_checked_human_review_pending
C005,45448d0c851a94463f73bf68f5911d59ba2d14641ffa09176fe477f78c772d47,3. What existing evidence establishes,Li2023;Burns2023;Marks2024;Azaria2023;Zou2023,E003;E004;E005;E006;E007,agent_source_checked_human_review_pending
C006,8947e956e81311ab6c75cb34e099eee2f0b392f8d34714423b0960778e6e9536,3. What existing evidence establishes,ModelEditing2024;Rationality2024;AGM1985,E033;E034;E027,agent_source_checked_human_review_pending
C007,3868c8be6780f82f441da570fdfe65a6a2a4fdf4cbae2281504f8a3d5087b3d4,3. What existing evidence establishes,Kadavath2022;LookingInward2024,E010;E012,agent_source_checked_human_review_pending
C008,93e40c85b2d738a2428104e6df30c50455bda1f348c5db81aaad6e0f6d2f6d00,3. What existing evidence establishes,IntrospectionCheck2026;Turpin2023,E035;E013,agent_source_checked_human_review_pending
C009,c37bae5ba506213fcef0db6147ed17e6999f1a99e4f79322f2d6bfd6bc2ce21a,3. What existing evidence establishes,Ganguli2023;Huang2023,E032;E014,agent_source_checked_human_review_pending
C010,c2f452c4711d6b72ee5fe6766fcaf0951bee9f51e6d30817b37cf5bbe59de8c0,3. What existing evidence establishes,MoralConvergence2025,E039,agent_source_checked_human_review_pending
C011,b3c20f5977246745b0989913254a407ec81173de4f3783bd4591a1eec4f9bbb1,3. What existing evidence establishes,Values2026;Archetypes2026;Story2026,E036;E037;E038,agent_source_checked_human_review_pending
C012,738f7172d96a2f7643aae055bc5b5a6375205b14f85920a2c6a166d314e19435,3. What existing evidence establishes,Sharma2023;Greenblatt2024;Hubinger2024,E015;E016;E017,agent_source_checked_human_review_pending
C013,37e5392d3f1d46e4c1905be9fe138365d776277891373a58baf479b0a70ea95f,3. What existing evidence establishes,Park2023;Shinn2023;Colas2020,E019;E020;E018,agent_source_checked_human_review_pending
C014,a93b1e77247d3e6cc454a7503836309ede0721d0bead587bbfd03cbf8fd0be61,4. A bounded interpretation of Yangming,WangSEP,E029,agent_source_checked_human_review_pending
C015,9af9cef0e068c34eb588e383fa39fb31d7d6f97fc6e28563aacef0ce359372c3,6. A candidate cultivation process,Park2023;Shinn2023;Colas2020,E019;E020;E018,agent_source_checked_human_review_pending
C016,5e749ce477ab31aaf1cf4416ef0062553330731aa1a39e3d094c898a618a5c6a,8. Normative legitimacy and corrigibility,Gabriel2020;MachineEthicsSEP,E024;E031,agent_source_checked_human_review_pending
C017,e302b5456a8c16a8fc8aea5b29d9948046bcaf50749150658677965986d074d5,8. Normative legitimacy and corrigibility,HadfieldMenell2016;OffSwitch2017,E021;E022,agent_source_checked_human_review_pending
C018,8a60f66f917f1fa307be35d542e740a1d1035a8c81aa6eb6433122bc1b78bdba,Declarations,Skills2026,E023,agent_source_checked_human_review_pending
